2025-08-17 11:09:14,597 - INFO - /home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/abstract_flask/abstract_flask.py - Python path: ['/var/www/api/abstract_logins', '/home/solcatcher/miniconda/envs/solcatcher/bin', '/home/solcatcher/miniconda/envs/solcatcher/lib/python312.zip', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/lib-dynload', '/home/solcatcher/.local/lib/python3.12/site-packages', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/setuptools/_vendor', '/tmp/tmprjls8wtt']
2025-08-17 11:13:53,009 - INFO - /home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/abstract_flask/abstract_flask.py - Python path: ['/var/www/api/abstract_logins', '/home/solcatcher/miniconda/envs/solcatcher/bin', '/home/solcatcher/miniconda/envs/solcatcher/lib/python312.zip', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/lib-dynload', '/home/solcatcher/.local/lib/python3.12/site-packages', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/setuptools/_vendor', '/tmp/tmpe78pnw3w']
2025-08-17 11:13:53,054 - INFO - /home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/abstract_flask/abstract_flask.py - Python path: ['/var/www/api/abstract_logins', '/home/solcatcher/miniconda/envs/solcatcher/bin', '/home/solcatcher/miniconda/envs/solcatcher/lib/python312.zip', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/lib-dynload', '/home/solcatcher/.local/lib/python3.12/site-packages', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/setuptools/_vendor', '/tmp/tmpf6t6m9wh']
2025-08-17 11:13:53,136 - INFO - /home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/abstract_flask/abstract_flask.py - Python path: ['/var/www/api/abstract_logins', '/home/solcatcher/miniconda/envs/solcatcher/bin', '/home/solcatcher/miniconda/envs/solcatcher/lib/python312.zip', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/lib-dynload', '/home/solcatcher/.local/lib/python3.12/site-packages', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/setuptools/_vendor', '/tmp/tmpc79g323v']
2025-08-17 11:13:53,171 - INFO - /home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/abstract_flask/abstract_flask.py - Python path: ['/var/www/api/abstract_logins', '/home/solcatcher/miniconda/envs/solcatcher/bin', '/home/solcatcher/miniconda/envs/solcatcher/lib/python312.zip', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/lib-dynload', '/home/solcatcher/.local/lib/python3.12/site-packages', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/setuptools/_vendor', '/tmp/tmp69870r68']
2025-08-17 11:14:36,442 - INFO - /home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/abstract_flask/abstract_flask.py - Python path: ['/var/www/api/abstract_logins', '/home/solcatcher/miniconda/envs/solcatcher/bin', '/home/solcatcher/miniconda/envs/solcatcher/lib/python312.zip', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/lib-dynload', '/home/solcatcher/.local/lib/python3.12/site-packages', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/setuptools/_vendor', '/tmp/tmptsi8sisp']
2025-08-17 11:14:36,607 - INFO - /home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/abstract_flask/abstract_flask.py - Python path: ['/var/www/api/abstract_logins', '/home/solcatcher/miniconda/envs/solcatcher/bin', '/home/solcatcher/miniconda/envs/solcatcher/lib/python312.zip', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/lib-dynload', '/home/solcatcher/.local/lib/python3.12/site-packages', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/setuptools/_vendor', '/tmp/tmp8jjk39it']
2025-08-17 11:14:36,622 - INFO - /home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/abstract_flask/abstract_flask.py - Python path: ['/var/www/api/abstract_logins', '/home/solcatcher/miniconda/envs/solcatcher/bin', '/home/solcatcher/miniconda/envs/solcatcher/lib/python312.zip', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/lib-dynload', '/home/solcatcher/.local/lib/python3.12/site-packages', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/setuptools/_vendor', '/tmp/tmp9ysarr_h']
2025-08-17 11:14:36,652 - INFO - /home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/abstract_flask/abstract_flask.py - Python path: ['/var/www/api/abstract_logins', '/home/solcatcher/miniconda/envs/solcatcher/bin', '/home/solcatcher/miniconda/envs/solcatcher/lib/python312.zip', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/lib-dynload', '/home/solcatcher/.local/lib/python3.12/site-packages', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/setuptools/_vendor', '/tmp/tmphmbtkwrt']
2025-08-17 11:17:47,150 - INFO - /home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/abstract_flask/abstract_flask.py - Python path: ['/var/www/api/abstract_logins', '/home/solcatcher/miniconda/envs/solcatcher/bin', '/home/solcatcher/miniconda/envs/solcatcher/lib/python312.zip', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/lib-dynload', '/home/solcatcher/.local/lib/python3.12/site-packages', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/setuptools/_vendor', '/tmp/tmpc0p_jktk']
2025-08-17 11:17:47,176 - INFO - /home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/abstract_flask/abstract_flask.py - Python path: ['/var/www/api/abstract_logins', '/home/solcatcher/miniconda/envs/solcatcher/bin', '/home/solcatcher/miniconda/envs/solcatcher/lib/python312.zip', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/lib-dynload', '/home/solcatcher/.local/lib/python3.12/site-packages', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/odf', '/home/solcatcher/miniconda/envs/solcatcher/lib/python3.12/site-packages/setuptools/_vendor', '/tmp/tmppeqzs79h']
